identifier1	identifier2	annotator	judgment	comment	lemma	timestamp	identifier1_system	identifier2_system
crippled_3	crippled_11	ajejohansson	2.0		crippled	2025-01-05 16:49:59.289	1394761	1394758
crippled_3	crippled_12	ajejohansson	4.0		crippled	2025-01-05 16:37:35.999	1394761	1394759
crippled_3	crippled_13	ajejohansson	3.0		crippled	2025-01-05 16:21:07.748	1394761	1394757
crippled_3	crippled_14	ajejohansson	2.0		crippled	2025-01-05 16:41:26.567	1394761	1394754
crippled_3	crippled_5	ajejohansson	4.0		crippled	2025-01-05 16:15:58.539	1394761	1394755
crippled_10	crippled_11	ajejohansson	3.0		crippled	2025-01-05 16:15:55.228	1394753	1394758
crippled_10	crippled_12	ajejohansson	2.0		crippled	2025-01-05 16:10:43.341	1394753	1394759
crippled_3	crippled_15	ajejohansson	4.0		crippled	2025-01-05 16:13:41.327	1394761	1394767
crippled_10	crippled_1	ajejohansson	2.0		crippled	2025-01-05 16:14:25.426	1394753	1394756
crippled_3	crippled_7	ajejohansson	4.0		crippled	2025-01-05 15:17:15.767	1394761	1394764
crippled_10	crippled_13	ajejohansson	2.0		crippled	2025-01-05 16:13:43.938	1394753	1394757
crippled_3	crippled_6	ajejohansson	4.0		crippled	2025-01-05 15:05:38.223	1394761	1394765
crippled_10	crippled_14	ajejohansson	2.0		crippled	2025-01-05 15:05:42.314	1394753	1394754
crippled_3	crippled_16	ajejohansson	4.0		crippled	2025-01-05 16:41:21.92	1394761	1394762
crippled_10	crippled_5	ajejohansson	2.0		crippled	2025-01-05 16:43:45.05	1394753	1394755
crippled_3	crippled_2	ajejohansson	4.0		crippled	2025-01-05 16:21:13.576	1394761	1394760
crippled_10	crippled_9	ajejohansson	4.0		crippled	2025-01-05 16:50:24.054	1394753	1394766
crippled_10	crippled_15	ajejohansson	2.0		crippled	2025-01-05 16:04:28.292	1394753	1394767
crippled_10	crippled_7	ajejohansson	2.0		crippled	2025-01-05 16:16:45.602	1394753	1394764
crippled_10	crippled_16	ajejohansson	2.0		crippled	2025-01-05 16:37:57.422	1394753	1394762
crippled_10	crippled_4	ajejohansson	2.0		crippled	2025-01-05 16:14:53.293	1394753	1394763
crippled_10	crippled_2	ajejohansson	2.0		crippled	2025-01-05 16:45:47.633	1394753	1394760
crippled_3	crippled_8	ajejohansson	2.0		crippled	2025-01-05 16:46:01.496	1394761	1394768
crippled_10	crippled_3	ajejohansson	2.0		crippled	2025-01-05 16:24:25.358	1394753	1394761
crippled_8	crippled_13	ajejohansson	2.0		crippled	2025-01-05 16:28:18.604	1394768	1394757
crippled_8	crippled_11	ajejohansson	4.0		crippled	2025-01-05 16:48:07.779	1394768	1394758
crippled_8	crippled_10	ajejohansson	4.0		crippled	2025-01-05 16:49:39.295	1394768	1394753
crippled_8	crippled_6	ajejohansson	2.0		crippled	2025-01-05 16:41:30.325	1394768	1394765
crippled_8	crippled_9	ajejohansson	4.0		crippled	2025-01-05 16:21:16.265	1394768	1394766
crippled_8	crippled_12	ajejohansson	2.0		crippled	2025-01-05 16:28:36.577	1394768	1394759
crippled_8	crippled_2	ajejohansson	2.0		crippled	2025-01-05 16:24:36.997	1394768	1394760
crippled_2	crippled_7	ajejohansson	4.0		crippled	2025-01-05 16:50:26.244	1394760	1394764
crippled_8	crippled_15	ajejohansson	2.0		crippled	2025-01-05 16:13:38.212	1394768	1394767
crippled_2	crippled_15	ajejohansson	4.0		crippled	2025-01-05 16:49:41.887	1394760	1394767
crippled_15	crippled_1	ajejohansson	2.0		crippled	2025-01-05 16:19:55.573	1394767	1394756
crippled_15	crippled_14	ajejohansson	2.0		crippled	2025-01-05 16:50:29.955	1394767	1394754
crippled_15	crippled_5	ajejohansson	4.0		crippled	2025-01-05 16:45:53.264	1394767	1394755
crippled_12	crippled_1	ajejohansson	2.0		crippled	2025-01-05 16:16:41.813	1394759	1394756
crippled_15	crippled_7	ajejohansson	4.0		crippled	2025-01-05 16:48:11.306	1394767	1394764
crippled_15	crippled_6	ajejohansson	4.0		crippled	2025-01-05 16:11:32.606	1394767	1394765
crippled_15	crippled_16	ajejohansson	4.0		crippled	2025-01-05 16:11:25.606	1394767	1394762
crippled_12	crippled_5	ajejohansson	4.0		crippled	2025-01-05 16:41:46.64	1394759	1394755
crippled_15	crippled_4	ajejohansson	4.0		crippled	2025-01-05 16:09:37.574	1394767	1394763
crippled_15	crippled_11	ajejohansson	2.0		crippled	2025-01-05 16:27:24.832	1394767	1394758
crippled_15	crippled_12	ajejohansson	4.0		crippled	2025-01-05 15:22:09.14	1394767	1394759
crippled_12	crippled_6	ajejohansson	4.0		crippled	2025-01-05 16:16:01.699	1394759	1394765
crippled_12	crippled_2	ajejohansson	4.0		crippled	2025-01-05 15:14:09.2	1394759	1394760
crippled_12	crippled_11	ajejohansson	2.0		crippled	2025-01-05 16:51:12.519	1394759	1394758
crippled_9	crippled_5	ajejohansson	2.0		crippled	2025-01-05 16:11:28.463	1394766	1394755
crippled_9	crippled_1	ajejohansson	2.0		crippled	2025-01-05 15:17:28.508	1394766	1394756
crippled_9	crippled_3	ajejohansson	2.0		crippled	2025-01-05 16:45:56.779	1394766	1394761
crippled_11	crippled_14	ajejohansson	2.0		crippled	2025-01-05 16:40:39.775	1394758	1394754
crippled_9	crippled_12	ajejohansson	2.0		crippled	2025-01-05 16:45:20.248	1394766	1394759
crippled_9	crippled_2	ajejohansson	2.0		crippled	2025-01-05 16:19:12.931	1394766	1394760
crippled_9	crippled_13	ajejohansson	2.0		crippled	2025-01-05 15:19:21.233	1394766	1394757
crippled_9	crippled_11	ajejohansson	4.0		crippled	2025-01-05 16:23:46.914	1394766	1394758
crippled_11	crippled_4	ajejohansson	2.0		crippled	2025-01-05 16:40:30.734	1394758	1394763
