identifier1	identifier2	annotator	judgment	comment	lemma	timestamp	identifier1_system	identifier2_system
depressed_23	depressed_6	ajejohansson	2.0		depressed	2025-01-05 21:36:13.255	1394713	1394703
depressed_23	depressed_2	ajejohansson	2.0		depressed	2025-01-05 21:09:37.326	1394713	1394700
depressed_23	depressed_12	ajejohansson	2.0		depressed	2025-01-05 18:09:56.201	1394713	1394698
depressed_23	depressed_27	ajejohansson	2.0		depressed	2025-01-05 17:34:10.696	1394713	1394697
depressed_22	depressed_6	ajejohansson	2.0		depressed	2025-01-05 17:33:51.281	1394705	1394703
depressed_22	depressed_2	ajejohansson	2.0		depressed	2025-01-05 21:11:53.759	1394705	1394700
depressed_23	depressed_36	ajejohansson	4.0		depressed	2025-01-05 17:21:12.75	1394713	1394708
depressed_22	depressed_9	ajejohansson	2.0		depressed	2025-01-05 17:02:37.227	1394705	1394699
depressed_23	depressed_10	ajejohansson	2.0		depressed	2025-01-05 18:06:19.431	1394713	1394707
depressed_22	depressed_36	ajejohansson	4.0		depressed	2025-01-05 18:15:28.552	1394705	1394708
depressed_23	depressed_31	ajejohansson	2.0		depressed	2025-01-05 21:18:39.729	1394713	1394716
depressed_22	depressed_8	ajejohansson	4.0		depressed	2025-01-05 17:21:26.034	1394705	1394709
depressed_22	depressed_11	ajejohansson	4.0		depressed	2025-01-05 18:09:27.059	1394705	1394706
depressed_23	depressed_3	ajejohansson	2.0		depressed	2025-01-05 16:52:50.756	1394713	1394714
depressed_27	depressed_9	ajejohansson	4.0		depressed	2025-01-05 21:32:51.131	1394697	1394699
depressed_27	depressed_33	ajejohansson	4.0		depressed	2025-01-05 21:34:20.069	1394697	1394711
depressed_27	depressed_36	ajejohansson	2.0		depressed	2025-01-05 18:09:23.391	1394697	1394708
depressed_22	depressed_3	ajejohansson	2.0		depressed	2025-01-05 21:21:14.155	1394705	1394714
depressed_27	depressed_10	ajejohansson	3.0		depressed	2025-01-05 17:30:37.297	1394697	1394707
depressed_22	depressed_30	ajejohansson	4.0		depressed	2025-01-05 21:27:28.119	1394705	1394715
