identifier1	identifier2	annotator	judgment	comment	lemma	timestamp	identifier1_system	identifier2_system
disabled_1	disabled_41	ajejohansson	3.0		disabled	2025-01-02 00:00:14.362	1394689	1394678
disabled_1	disabled_39	ajejohansson	3.0		disabled	2025-01-02 01:15:43.743	1394689	1394679
disabled_1	disabled_2	ajejohansson	3.0		disabled	2025-01-01 23:41:13.265	1394689	1394677
disabled_29	disabled_10	ajejohansson	3.0		disabled	2025-01-01 23:44:10.323	1394680	1394695
disabled_7	disabled_41	ajejohansson	4.0		disabled	2025-01-02 00:04:26.733	1394681	1394678
disabled_1	disabled_5	ajejohansson	2.0		disabled	2025-01-01 23:34:48.677	1394689	1394682
disabled_1	disabled_17	ajejohansson	3.0		disabled	2025-01-02 00:12:05.933	1394689	1394683
disabled_1	disabled_7	ajejohansson	3.0		disabled	2025-01-01 23:38:02.87	1394689	1394681
disabled_1	disabled_10	ajejohansson	3.0		disabled	2025-01-01 23:23:48.712	1394689	1394695
disabled_7	disabled_40	ajejohansson	4.0		disabled	2025-01-02 00:12:13.81	1394681	1394685
disabled_1	disabled_21	ajejohansson	3.0		disabled	2025-01-01 21:47:49.959	1394689	1394693
disabled_7	disabled_5	ajejohansson	2.0		disabled	2025-01-01 23:41:36.301	1394681	1394682
disabled_1	disabled_6	ajejohansson	3.0		disabled	2025-01-02 00:39:55.364	1394689	1394690
disabled_1	disabled_8	ajejohansson	4.0		disabled	2025-01-02 00:03:34.926	1394689	1394688
disabled_7	disabled_48	ajejohansson	4.0		disabled	2025-01-01 23:43:57.592	1394681	1394694
disabled_7	disabled_21	ajejohansson	4.0		disabled	2025-01-02 01:03:22.383	1394681	1394693
disabled_7	disabled_8	ajejohansson	3.0		disabled	2025-01-01 23:54:26.15	1394681	1394688
disabled_1	disabled_9	ajejohansson	2.0		disabled	2025-01-01 23:48:56.623	1394689	1394696
disabled_8	disabled_41	ajejohansson	3.0		disabled	2025-01-02 00:12:58.87	1394688	1394678
disabled_9	disabled_17	ajejohansson	2.0		disabled	2025-01-02 01:06:55.665	1394696	1394683
disabled_9	disabled_3	ajejohansson	4.0		disabled	2025-01-02 01:15:48.783	1394696	1394684
disabled_39	disabled_9	ajejohansson	2.0		disabled	2025-01-02 01:05:02.747	1394679	1394696
disabled_39	disabled_48	ajejohansson	4.0		disabled	2025-01-02 00:55:06.247	1394679	1394694
disabled_39	disabled_10	ajejohansson	3.0		disabled	2025-01-02 00:36:36.001	1394679	1394695
disabled_9	disabled_29	ajejohansson	2.0		disabled	2025-01-01 23:46:56.611	1394696	1394680
disabled_9	disabled_21	ajejohansson	2.0		disabled	2025-01-01 23:49:49.568	1394696	1394693
disabled_9	disabled_48	ajejohansson	2.0		disabled	2025-01-01 23:45:55.107	1394696	1394694
disabled_8	disabled_17	ajejohansson	3.0		disabled	2025-01-01 23:52:04.35	1394688	1394683
disabled_8	disabled_3	ajejohansson	2.0		disabled	2025-01-01 21:34:44.894	1394688	1394684
disabled_9	disabled_6	ajejohansson	2.0		disabled	2025-01-02 01:10:31.504	1394696	1394690
