identifier1	identifier2	annotator	judgment	comment	lemma	timestamp	identifier1_system	identifier2_system
lame_18	lame_23	ajejohansson	2.0		lame	2025-01-04 23:27:48.393	1394729	1394719
lame_2	lame_20	ajejohansson	4.0		lame	2025-01-04 22:44:50.754	1394721	1394718
lame_2	lame_23	ajejohansson	2.0		lame	2025-01-04 23:37:25.888	1394721	1394719
lame_18	lame_16	ajejohansson	2.0		lame	2025-01-04 23:37:02.957	1394729	1394727
lame_18	lame_29	ajejohansson	2.0		lame	2025-01-03 23:49:40.408	1394729	1394724
lame_18	lame_33	ajejohansson	2.0		lame	2025-01-04 23:35:20.567	1394729	1394722
lame_18	lame_24	ajejohansson	2.0		lame	2025-01-04 23:06:22.016	1394729	1394723
lame_2	lame_25	ajejohansson	2.0		lame	2025-01-04 22:42:17.764	1394721	1394726
lame_18	lame_15	ajejohansson	4.0		lame	2025-01-04 23:32:25.21	1394729	1394734
lame_18	lame_31	ajejohansson	4.0		lame	2025-01-04 21:32:15.306	1394729	1394735
lame_18	lame_27	ajejohansson	2.0		lame	2025-01-04 21:41:56.717	1394729	1394732
lame_2	lame_22	ajejohansson	2.0		lame	2025-01-04 23:04:08.546	1394721	1394725
lame_18	lame_12	ajejohansson	2.0		lame	2025-01-04 23:10:15.404	1394729	1394733
lame_2	lame_31	ajejohansson	4.0		lame	2025-01-04 22:17:34.74	1394721	1394735
lame_2	lame_27	ajejohansson	2.0		lame	2025-01-04 21:57:58.567	1394721	1394732
lame_2	lame_12	ajejohansson	2.0		lame	2025-01-04 22:04:37.001	1394721	1394733
lame_2	lame_9	ajejohansson	2.0		lame	2025-01-04 22:59:29.458	1394721	1394728
lame_2	lame_18	ajejohansson	4.0		lame	2025-01-04 23:33:15.262	1394721	1394729
lame_9	lame_21	ajejohansson	2.0		lame	2025-01-04 21:14:46.108	1394728	1394717
lame_8	lame_22	ajejohansson	2.0		lame	2025-01-04 22:52:42.187	1394736	1394725
lame_8	lame_24	ajejohansson	2.0		lame	2025-01-04 00:07:04.543	1394736	1394723
lame_8	lame_2	ajejohansson	4.0		lame	2025-01-04 23:06:25.264	1394736	1394721
lame_8	lame_33	ajejohansson	2.0		lame	2025-01-04 22:39:03.681	1394736	1394722
lame_8	lame_23	ajejohansson	2.0		lame	2025-01-04 21:12:28.802	1394736	1394719
lame_23	lame_31	ajejohansson	2.0		lame	2025-01-04 22:02:14.076	1394719	1394735
lame_8	lame_26	ajejohansson	2.0		lame	2025-01-04 23:37:06.139	1394736	1394720
lame_9	lame_22	ajejohansson	2.0		lame	2025-01-04 22:46:10.909	1394728	1394725
lame_8	lame_15	ajejohansson	4.0		lame	2025-01-04 20:47:49.022	1394736	1394734
lame_8	lame_27	ajejohansson	2.0		lame	2025-01-04 20:38:32.068	1394736	1394732
lame_8	lame_18	ajejohansson	4.0		lame	2025-01-04 22:52:38.92	1394736	1394729
lame_9	lame_33	ajejohansson	2.0		lame	2025-01-04 20:25:53.549	1394728	1394722
lame_8	lame_9	ajejohansson	2.0		lame	2025-01-04 22:50:26.511	1394736	1394728
