identifier1	identifier2	annotator	judgment	comment	lemma	timestamp	identifier1_system	identifier2_system
fic_1856_1552.txt-2858-25	nf_1816_747562.txt-1827-6	ajejohansson	3.0		record_nn	2025-01-06 00:07:41.451	1394780	1394801
mag_1846_565552.txt-221-22	mag_1981_432041.txt-98-3	ajejohansson	3.0		record_nn	2025-01-05 23:58:23.056	1394784	1394802
mag_2002_421280.txt-35-1	fic_1856_1552.txt-2858-25	ajejohansson	2.0		record_nn	2025-01-05 23:34:58.054	1394797	1394780
nf_1849_749269.txt-1658-33	nf_1836_748113.txt-721-23	ajejohansson	4.0		record_nn	2025-01-06 00:22:39.031	1394777	1394771
news_1981_670933.txt-32-25	news_1969_727946.txt-19-10	ajejohansson	3.0		record_nn	2025-01-06 00:13:21.679	1394793	1394787
fic_1981_14064.txt-702-12	mag_2002_385360.txt-30-3	ajejohansson	4.0		record_nn	2025-01-05 23:39:47.056	1394776	1394799
mag_1859_591206.txt-213-18	mag_1992_423150.txt-30-24	ajejohansson	2.0		record_nn	2025-01-06 00:14:36.776	1394772	1394796
nf_1856_769137.txt-638-6	nf_1826_747833.txt-780-2	ajejohansson	3.0		record_nn	2025-01-05 23:52:47.712	1394773	1394778
nf_1848_754767.txt-7-9	mag_1846_565552.txt-221-22	ajejohansson	4.0		record_nn	2025-01-06 00:16:50.984	1394783	1394784
mag_2002_421280.txt-35-1	fic_1850_7304.txt-363-30	ajejohansson	2.0		record_nn	2025-01-05 23:23:49.507	1394797	1394798
mag_1961_205956.txt-13-6	mag_1979_485611.txt-260-19	ajejohansson	3.0		record_nn	2025-01-05 22:42:26.934	1394803	1394804
mag_1979_485611.txt-260-19	nf_1857_767292.txt-2345-1	ajejohansson	3.0		record_nn	2025-01-06 00:21:13.001	1394804	1394774
nf_1836_748113.txt-721-23	fic_1856_1552.txt-2858-25	ajejohansson	3.0		record_nn	2025-01-05 23:34:04.919	1394771	1394780
mag_1981_432041.txt-98-3	fic_1856_1552.txt-2858-25	ajejohansson	3.0		record_nn	2025-01-05 23:41:13.721	1394802	1394780
mag_1962_311690.txt-9-8	mag_2002_421280.txt-35-1	ajejohansson	4.0		record_nn	2025-01-06 00:09:11.896	1394789	1394797
fic_1975_10600.txt-4362-31	mag_1971_282685.txt-6-3	ajejohansson	2.0		record_nn	2025-01-05 23:21:18.544	1394775	1394795
nf_1847_747756.txt-405-45	news_1979_734499.txt-40-2	ajejohansson	3.0		record_nn	2025-01-05 23:19:58.303	1394769	1394785
mag_1846_565552.txt-221-22	mag_1975_107266.txt-40-12	ajejohansson	2.0		record_nn	2025-01-06 00:13:39.881	1394784	1394782
fic_2000_52612.txt-32-51	news_2000_621987.txt-16-1	ajejohansson	4.0		record_nn	2025-01-06 00:23:28.636	1394792	1394790
fic_1975_10600.txt-4362-31	mag_1844_565293.txt-70-30	ajejohansson	4.0		record_nn	2025-01-05 23:49:23.548	1394775	1394800
mag_2000_403677.txt-77-3	nf_1834_747634.txt-366-9	ajejohansson	3.0		record_nn	2025-01-05 23:54:13.351	1394788	1394779
mag_1981_127085.txt-95-12	fic_1975_10600.txt-4362-31	ajejohansson	2.0		record_nn	2025-01-06 00:11:12.575	1394770	1394775
nf_1848_747434.txt-2817-30	mag_1859_591206.txt-213-18	ajejohansson	3.0		record_nn	2025-01-05 23:18:15.684	1394791	1394772
mag_1859_591206.txt-213-18	news_1978_733514.txt-23-7	ajejohansson	2.0		record_nn	2025-01-06 00:13:50.22	1394772	1394781
news_2003_628509.txt-80-6	fic_1827_7169.txt-0-35	ajejohansson	2.0		record_nn	2025-01-05 23:22:54.576	1394786	1394794
