lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang	user
record_nn	nn1	2003	2	news_2003_628509.txt-80-6		A southpaw, Spinks ran his record to 31-2 with 10 knockouts.	27:33	0:60	1394786	annotation_validation_record	en	ajejohansson
record_nn	nn2_vvz@	1981	2	mag_1981_127085.txt-95-12		// Southern Cal's Marcus Allen broke another of Dorsett's NCAA records by increasing his season rushing yardage to 1,968 in a 21-3 victory over Cal.	63:70	0:148	1394770	annotation_validation_record	en	ajejohansson
record_nn	nn1	1847	1	nf_1847_747756.txt-405-45		"Doctor Cotton Mather preached his funeral sermon, from these words: "" Looking steadfastly on him, they saw his face, as it had been the face of an angel "" He calls him that man of G-od, and has left on record a full testimony to his usefulness in life, and to his happiness in death. """	202:208	0:285	1394769	annotation_validation_record	en	ajejohansson
record_nn	nn1	1846	1	mag_1846_565552.txt-221-22		Then there is not a single provision, in the whole system, for the delivery of a fugitive; nor any record, in the whole history, of a single case of such delivery; nor any thing in all the laws and history, that looks as though such delivery was intended.	99:105	0:255	1394784	annotation_validation_record	en	ajejohansson
record_nn	nn1	1992	2	mag_1992_423150.txt-30-24		to operate, primarily views X-ray sources, a camera aboard the craft has surveyed the sky in the extreme ultraviolet and identified a record 385 bright sources in this wavelength band (see sidebar).	134:140	0:198	1394796	annotation_validation_record	en	ajejohansson
record_nn	nn1	1848	1	nf_1848_754767.txt-7-9		The readers, therefore, may rely upon the record as the truth,	42:48	0:62	1394783	annotation_validation_record	en	ajejohansson
record_nn	nn2	1836	1	nf_1836_748113.txt-721-23		How far the same remark can be applied to another country, the constant rival and often the enemy of France, the records of the courts which take cognizance of such offences against duty, honor, and even common honesty, will bear ample but humiliating testimony.	113:120	0:262	1394771	annotation_validation_record	en	ajejohansson
record_nn	nn1	1859	1	mag_1859_591206.txt-213-18		The time has come when the people can only trust such men as are known by their past record to be national statesmen; to such men as can not, by local causes, be turned aside from the great good of the nation.	85:91	0:209	1394772	annotation_validation_record	en	ajejohansson
record_nn	nn1	1848	1	nf_1848_747434.txt-2817-30		He, however, made his speech, addressing it particularly to one or two persons who were near, knowing that they would put the substance of it on record, and thus make it known to all mankind.	145:151	0:191	1394791	annotation_validation_record	en	ajejohansson
record_nn	nn1	1971	2	mag_1971_282685.txt-6-3		Last week a record crowd of 81,036 came to find out, as the big (16.1 hands) copper colt went to the post in the $125,000 Belmont Stakes, the final jewel in the Triple Crown.	12:18	0:174	1394795	annotation_validation_record	en	ajejohansson
record_nn	nn1	1856	1	fic_1856_1552.txt-2858-25		Not an infant dies or is born, but is made the subject of verse; nay, its smiles and tears are put on record; its hobby-horse, and its infant ideas as they begin to bud and breathe aloud.	102:108	0:187	1394780	annotation_validation_record	en	ajejohansson
record_nn	nn2	2000	2	news_2000_621987.txt-16-1		City records indicate that a four-unit complex was built there last year and that Pada, who approved only minor work on the site, did nothing when he saw alleged illegal construction.	5:12	0:183	1394790	annotation_validation_record	en	ajejohansson
record_nn	nn1	1856	1	nf_1856_769137.txt-638-6		This is a little over the record of Dr. Tanner, but the result is very different.	26:32	0:81	1394773	annotation_validation_record	en	ajejohansson
record_nn	nn1	1969	2	news_1969_727946.txt-19-10		As the incumbent Mayor, he must run on his record but he would do well to listen to those modern-minded Democrats who have sound advice to offer in respect to improving existing policies and programs.	43:49	0:200	1394787	annotation_validation_record	en	ajejohansson
record_nn	nn1	1850	1	fic_1850_7304.txt-363-30		To apply it to a nobleman, indeed, would have been, at one time, to have given a mortal affront, and a curious anecdote is on record, to this effect in the case of	126:132	0:163	1394798	annotation_validation_record	en	ajejohansson
record_nn	nn2	1962	2	mag_1962_311690.txt-9-8		What's more, sales of poetry on records are tuned to unprecedented volume.	32:39	0:74	1394789	annotation_validation_record	en	ajejohansson
record_nn	nn2	2000	2	fic_2000_52612.txt-32-51		I've never followed the research checklist given me by my genealogist friend: I haven't located the family Bible yet; there are letters left unread; I've only done a few interviews; I've never visited the county courthouse and sorted through birth certificates, marriage records, wills, estates, deeds, mortgages; I've tracked down only a few cemetery logs, county histories, tax lists, newspaper articles, voter rolls; I've spent one weekend in the state archives looking for the land grants, census, and militia records, but I haven't been back.	271:278	0:547	1394792	annotation_validation_record	en	ajejohansson
record_nn	nn1	1844	1	mag_1844_565293.txt-70-30		"We once heard an intelligent man somewhat conversant with political affairs, assert in a public lecture, that there was one case of extravagant speculation and consequent revulsion on record, not connected with this principle of expansion, viz, the case of the "" South Sea bubble "" in 1722: if that"	184:190	0:298	1394800	annotation_validation_record	en	ajejohansson
record_nn	nn2	1816	1	nf_1816_747562.txt-1827-6		They regarded them as their public records, as the means of perpetuating all public fame, all private honour, and all valuable instruction.	35:42	0:139	1394801	annotation_validation_record	en	ajejohansson
record_nn	nn1	1857	1	nf_1857_767292.txt-2345-1		This record shall be read at the commencement of the next subsequent meeting.	5:11	0:77	1394774	annotation_validation_record	en	ajejohansson
record_nn	nn1	1975	2	fic_1975_10600.txt-4362-31		Why don't you ask him if he'll agree to a stipulation, if we do, that the Cape boy's testimony be made a part of the court record and that we spare the boy -- and ourselves -- another repetitionof that bloody story?	123:129	0:215	1394775	annotation_validation_record	en	ajejohansson
record_nn	nn1	1981	2	fic_1981_14064.txt-702-12		Constance starts to drink, stops, puts the needle on the record again, sits.	57:63	0:76	1394776	annotation_validation_record	en	ajejohansson
record_nn	nn1	1849	1	nf_1849_749269.txt-1658-33		I proposed to join a village and make myself an inmate of one of their lodges; and henceforward this narrative, so far as I am concerned, will be chiefly a record of the progress of this design apparently so easy of accomplishment, and the unexpected impediments that opposed it.	156:162	0:279	1394777	annotation_validation_record	en	ajejohansson
record_nn	nn2_vvz@	1981	2	mag_1981_432041.txt-98-3		"But communications and records officer William Belk of West Columbia, S.C., said he "" didn't want hate to end this. """	23:30	0:117	1394802	annotation_validation_record	en	ajejohansson
record_nn	nn2	1827	1	fic_1827_7169.txt-0-35		@@170 THE Buccaneers; A ROMANCE OF OUR OWN COUNTRY IN ITS ANCIENT DAY; ILLUSTRATED WITH DIVERS MARVELLOUS HISTORIES, AND ANTIQUE AND FACETIOUS EPISODES; GATHERED FROM THE MOST AUTHENTIC CHRONICLES &; AFFIRMED RECORDS EXTANT FROM THE Settlement of the Nieuw Nederlandts UNTIL THE TIMES OF THE FAMOUS RICHARD KID: CAREFULLY COLLATED FROM THE LABORIOUS RESEARCHES, AND MINUTE INVESTIGATIONS, OF THAT EXCELLENT ANTIQUARY AND SUBLIME PHILOSOPHER, YCLEPT TERENTIUS PHLOGOBOMBOS.	209:216	0:472	1394794	annotation_validation_record	en	ajejohansson
record_nn	nn2	1978	2	news_1978_733514.txt-23-7		President Carter, who listens to classical records all day long, appeared to be enthralled.	43:50	0:91	1394781	annotation_validation_record	en	ajejohansson
record_nn	nn2	1979	2	news_1979_734499.txt-40-2		School system records are in such bad shape that these figures have not been forthcoming despite days of work by skilled outside auditors.	14:21	0:138	1394785	annotation_validation_record	en	ajejohansson
record_nn	nn1	2002	2	mag_2002_421280.txt-35-1		The record labels ' new services include MusicNet, backed by AOL Time Warner, BMG, and EMI; and PressPlay backed by Sony Music and Vivendi Universal.	4:10	0:149	1394797	annotation_validation_record	en	ajejohansson
record_nn	nn1	2000	2	mag_2000_403677.txt-77-3		(For the record, reversing letters is not an indicator of a learning disability in preschoolers.	9:15	0:96	1394788	annotation_validation_record	en	ajejohansson
record_nn	nn2	2002	2	mag_2002_385360.txt-30-3		"I was making records, but they weren't getting played because there was no place to play them. """	13:20	0:96	1394799	annotation_validation_record	en	ajejohansson
record_nn	nn2	1961	2	mag_1961_205956.txt-13-6		A riffle through the army's records discovers seven competent but crooked officers and other ranks (Nigel Patrick,	28:35	0:114	1394803	annotation_validation_record	en	ajejohansson
record_nn	nn1	1826	1	nf_1826_747833.txt-780-2		may the record of the gracious dealings of my God ever serve to quicken, enliven and encourage me and make me faithful, for Christ	8:14	0:130	1394778	annotation_validation_record	en	ajejohansson
record_nn	nn2	1981	2	news_1981_670933.txt-32-25		Many, like Mr. Morales, were incarcerated on their own admission, since the United States has no access to Cuba ' s criminal records.	125:132	0:133	1394793	annotation_validation_record	en	ajejohansson
record_nn	nn1	1979	2	mag_1979_485611.txt-260-19		We can only hope that despite the drought and despite the three-way race, and despite the uninspiring Janata record, the people in the countryside and.	109:115	0:151	1394804	annotation_validation_record	en	ajejohansson
record_nn	nn1	1834	1	nf_1834_747634.txt-366-9		The selectmen and town-clerk send a copy of that record, certified by them, to the office of the secretary of state, seventeen days before the last Wednesday of	49:55	0:160	1394779	annotation_validation_record	en	ajejohansson
record_nn	nn1	1975	2	mag_1975_107266.txt-40-12		That clocking was 18.6 seconds behind the late Steve Prefontaine's American record, but the Oregon crowd gave Shorter the longest applause of the meet, probably because Shorter attacked the race the way Prefontaine used to, driving hard all the way.	76:82	0:249	1394782	annotation_validation_record	en	ajejohansson
